# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
   39       1.714547789892e-10       1.786827736203e-03       9.435007548991e-04       1.507466186735e-04       3.062214308365e-05       2.037035799024e-04       2.202062530363e-03       6.996785759916e-04       6.078506411092e-05       2.087295686691e-04       1.669552389294e-03       5.223187874870e-04       3.086761116249e-04       1.027478944727e-03       4.697601856955e-04       4.571835507901e-04 
   40       1.670425799655e-10       1.839008771259e-03       9.768057345680e-04       1.578266411593e-04       3.195958122793e-05       2.100759205298e-04       2.283119938744e-03       7.302064468556e-04       6.404765145008e-05       2.170019035790e-04       1.741929212721e-03       5.481325673458e-04       3.232845145311e-04       1.077016888729e-03       4.936075611168e-04       4.806695780902e-04 
   41       1.603201973034e-10       1.890871369789e-03       1.009637777808e-03       1.648749470944e-04       3.329628466251e-05       2.164015248876e-04       2.363264425869e-03       7.606077194669e-04       6.730783940791e-05       2.252012320589e-04       1.814369471155e-03       5.740985402941e-04       3.379390851809e-04       1.127040431849e-03       5.177204732436e-04       5.044869016119e-04 
   42       1.523534583182e-10       1.942458890851e-03       1.041984921624e-03       1.718804384973e-04       3.463089494682e-05       2.226813220926e-04       2.442425369748e-03       7.908393720672e-04       7.056035565662e-05       2.333195918695e-04       1.886774186913e-03       6.001784705629e-04       3.526186198914e-04       1.177486167957e-03       5.420678647145e-04       5.286094220369e-04 
   43       1.444006788572e-10       1.993813753850e-03       1.073843077903e-03       1.788331549041e-04       3.596214206402e-05       2.289164677586e-04       2.520547945855e-03       8.208624958111e-04       7.380019316931e-05       2.413505252398e-04       1.959050369086e-03       6.263352675321e-04       3.673030335752e-04       1.228291039535e-03       5.666191912915e-04       5.530112401394e-04 
   44       1.379636011864e-10       2.044984484761e-03       1.105220054547e-03       1.857248798524e-04       3.728899960965e-05       2.351089353876e-04       2.597598140483e-03       8.506441545418e-04       7.702319819583e-05       2.492898253963e-04       2.031111777906e-03       6.525341253009e-04       3.819739082989e-04       1.279393060992e-03       5.913448155772e-04       5.776669590297e-04 
   45       1.344401050428e-10       2.096020532577e-03       1.136131830962e-03       1.925487270697e-04       3.861059027909e-05       2.412610929274e-04       2.673558072470e-03       8.801561033729e-04       8.022585203734e-05       2.571349253584e-04       2.102878144571e-03       6.787421955944e-04       3.966141631525e-04       1.330731752713e-03       6.162159017070e-04       6.025515888584e-04 
   46       1.339263005939e-10       2.146955297299e-03       1.166588366404e-03       1.992973823950e-04       3.992582226738e-05       2.473742663599e-04       2.748407109822e-03       9.093692767114e-04       8.340434328013e-05       2.648824683777e-04       2.174271000566e-03       7.049268162843e-04       4.112065259209e-04       1.382248993518e-03       6.412036630466e-04       6.276399286915e-04 
   47       1.360795734393e-10       2.197817720026e-03       1.196604769023e-03       2.059646027082e-04       4.123367763808e-05       2.534497576009e-04       2.822137403686e-03       9.382585264479e-04       8.655535916690e-05       2.725302840520e-04       2.245217721763e-03       7.310572394960e-04       4.257349078519e-04       1.433888859333e-03       6.662801774835e-04       6.529072151430e-04 
   48       1.404415324800e-10       2.248636388000e-03       1.226205818826e-03       2.125458613219e-04       4.253332983588e-05       2.594892192179e-04       2.894760402849e-03       9.668046739667e-04       8.967642644747e-05       2.800782098798e-04       2.315653419747e-03       7.571054426070e-04       4.401850176325e-04       1.485597727541e-03       6.914187919120e-04       6.783294390387e-04 
   49       1.464308984287e-10       2.299439065466e-03       1.255426429162e-03       2.190384717663e-04       4.382415678697e-05       2.654946360926e-04       2.966307856330e-03       9.949949206040e-04       9.276597691148e-05       2.875282072499e-04       2.385521517543e-03       7.830463787900e-04       4.545445104384e-04       1.537324543680e-03       7.165942756692e-04       7.038834592091e-04 
   50       1.534101601494e-10       2.350250074821e-03       1.284307145963e-03       2.254410178545e-04       4.510565677080e-05       2.714680441467e-04       3.036825079863e-03       1.022821063249e-03       9.582295032941e-05       2.948835849592e-04       2.454772615479e-03       8.088572501206e-04       4.688025227115e-04       1.589020571706e-03       7.417825639998e-04       7.295468444353e-04 
   51       1.609233723595e-10       2.401082690441e-03       1.312878134590e-03       2.317511743184e-04       4.637713872120e-05       2.774106390534e-04       3.106346274619e-03       1.050272617878e-03       9.884532418133e-05       3.021461521956e-04       2.523359390138e-03       8.345145130332e-04       4.829477818309e-04       1.640637946083e-03       7.669595503864e-04       7.552970847049e-04 
   52       1.685106127805e-10       2.451943869306e-03       1.341171644093e-03       2.379675085787e-04       4.763797050584e-05       2.833233938978e-04       3.174914242071e-03       1.077342538983e-03       1.018312981168e-04       3.093184932600e-04       2.591241305972e-03       8.599964931091e-04       4.969702409739e-04       1.692131187687e-03       7.921022316349e-04       7.811123625598e-04 
   53       1.756363021012e-10       2.502835663482e-03       1.369226812109e-03       2.440902117396e-04       4.888767713037e-05       2.892072709873e-04       3.242588157963e-03       1.104029551173e-03       1.047797643913e-04       3.164048647318e-04       2.658386687680e-03       8.852844911641e-04       5.108617658322e-04       1.743457922560e-03       8.171892201564e-04       8.069719048365e-04 
   54       1.816855639153e-10       2.553754649820e-03       1.397089892820e-03       2.501211897276e-04       5.012594926331e-05       2.950631911402e-04       3.309444210847e-03       1.130338456344e-03       1.076903516297e-04       3.234112694601e-04       2.724773215473e-03       9.103629877941e-04       5.246162547545e-04       1.794579124309e-03       8.422008781107e-04       8.328560836677e-04 
   55       1.861781735924e-10       2.604692894936e-03       1.424809791981e-03       2.560633796880e-04       5.135257715317e-05       3.008919796171e-04       3.375567669544e-03       1.156277887005e-03       1.105631442172e-04       3.303446157504e-04       2.790385549153e-03       9.352186714450e-04       5.382290316417e-04       1.845458304621e-03       8.671189219665e-04       8.587461705834e-04 
   56       1.894809836131e-10       2.655642437396e-03       1.452422850833e-03       2.619182915144e-04       5.256721362556e-05       3.066942585431e-04       3.441025315050e-03       1.181852208985e-03       1.133976585813e-04       3.372097808153e-04       2.855206374528e-03       9.598367712791e-04       5.516945727878e-04       1.896058294003e-03       8.919248138322e-04       8.846232958984e-04 
   57       1.922661041264e-10       2.706590920073e-03       1.479964681482e-03       2.676880152195e-04       5.376956714154e-05       3.124704739682e-04       3.505887278574e-03       1.207068145217e-03       1.161936892517e-04       3.440119474230e-04       2.919224000233e-03       9.842041715924e-04       5.650084257758e-04       1.946344085894e-03       9.166012054603e-04       9.104694077249e-04 
   58       1.953135522205e-10       2.757519653033e-03       1.507474572792e-03       2.733760017986e-04       5.495947674301e-05       3.182208859508e-04       3.570235310575e-03       1.231937356491e-03       1.189516414000e-04       3.507574923029e-04       2.982435409110e-03       1.008310663732e-03       5.781679770579e-04       1.996284015522e-03       9.411325438573e-04       9.362676818040e-04 
   59       1.995160893509e-10       2.808403103049e-03       1.534995535512e-03       2.789871241832e-04       5.613691767079e-05       3.239455369365e-04       3.634163085356e-03       1.256476649126e-03       1.216725619656e-04       3.574540244946e-04       3.044846641612e-03       1.032149104804e-03       5.911725437637e-04       2.045849961320e-03       9.655051847940e-04       9.620026089909e-04 
   60       2.058840587695e-10       2.859208383115e-03       1.562574347392e-03       2.845277381963e-04       5.730200698279e-05       3.296442201373e-04       3.697776505675e-03       1.280708182638e-03       1.243581707809e-04       3.641104236974e-04       3.106473179206e-03       1.055715576385e-03       6.040234655073e-04       2.095017546345e-03       9.897075063165e-04       9.876600827397e-04 
   61       2.152252755616e-10       2.909899347716e-03       1.590257176707e-03       2.900048170752e-04       5.845493204913e-05       3.353165695176e-04       3.761184405650e-03       1.304656563823e-03       1.270104596932e-04       3.707358945293e-04       3.167336114934e-03       1.079008274884e-03       6.167232308108e-04       2.143765706063e-03       1.013729279785e-03       1.013226969788e-03 
   62       2.270897897981e-10       2.960451107698e-03       1.618075202835e-03       2.954229901334e-04       5.959570457208e-05       3.409624248926e-04       3.824467531810e-03       1.328338896985e-03       1.296303143649e-04       3.773367944823e-04       3.227448793294e-03       1.102023532538e-03       6.292724195395e-04       2.192074822650e-03       1.037559361223e-03       1.038689511685e-03 
   63       2.405957703073e-10       3.010837882372e-03       1.646055833438e-03       3.007869445350e-04       6.072436107147e-05       3.465814930410e-04       3.887703108347e-03       1.351772858723e-03       1.322186369465e-04       3.839191587789e-04       3.286827838243e-03       1.124759180854e-03       6.416722339550e-04       2.239928527433e-03       1.061187680837e-03       1.064034718081e-03 
   64       2.547281866511e-10       3.061028324117e-03       1.674226747965e-03       3.061023240054e-04       6.184103824391e-05       3.521732061168e-04       3.950973824370e-03       1.374979721169e-03       1.347767678569e-04       3.904896286187e-04       3.345497346211e-03       1.147215856264e-03       6.539254635039e-04       2.287314475293e-03       1.084606027929e-03       1.089250921544e-03 
   65       2.683333362185e-10       3.110985154024e-03       1.702615802477e-03       3.113757603915e-04       6.294597613388e-05       3.577366938864e-04       4.014367833851e-03       1.397984460863e-03       1.373065032020e-04       3.970554583033e-04       3.403489135827e-03       1.169397118587e-03       6.660365459952e-04       2.334224525979e-03       1.107808140846e-03       1.114327848652e-03 
   66       2.801133713191e-10       3.160664797548e-03       1.731250934470e-03       3.166149052211e-04       6.403952130481e-05       3.632707559667e-04       4.077978755579e-03       1.420815867634e-03       1.398101121932e-04       4.036245223609e-04       3.460842997656e-03       1.191309569503e-03       6.780116287771e-04       2.380654925424e-03       1.130789796937e-03       1.139256691078e-03 
   67       2.886208262769e-10       3.210017020159e-03       1.760160067708e-03       3.218284612625e-04       6.512213001018e-05       3.687738340619e-04       4.141905673102e-03       1.443506653475e-03       1.422903545658e-04       4.102053226718e-04       3.517606943932e-03       1.212962971011e-03       6.898586299135e-04       2.426606487061e-03       1.153548902504e-03       1.164030176677e-03 
   68       2.926454836568e-10       3.258991315078e-03       1.789368319500e-03       3.270252645982e-04       6.619430001428e-05       3.742443212346e-04       4.206244700111e-03       1.466090219970e-03       1.447501082402e-04       4.168061593443e-04       3.573831986079e-03       1.234368415955e-03       7.015861425367e-04       2.472082279804e-03       1.176084547310e-03       1.188641951344e-03 
   69       2.924782338484e-10       3.307558383931e-03       1.818889178198e-03       3.322112443167e-04       6.725634292412e-05       3.796816245445e-04       4.271061692082e-03       1.488589956597e-03       1.471911257604e-04       4.234324323284e-04       3.629554680222e-03       1.255532144334e-03       7.131997533547e-04       2.517079742720e-03       1.198393744566e-03       1.213084420242e-03 
   70       2.888946515793e-10       3.355692374107e-03       1.848731358839e-03       3.373919006389e-04       6.830857121069e-05       3.850852688439e-04       4.336413979791e-03       1.511027959607e-03       1.496150560104e-04       4.300888033255e-04       3.684811477319e-03       1.276460681070e-03       7.247050846503e-04       2.561597290964e-03       1.220474188944e-03       1.237350594844e-03 
   71       2.827897951848e-10       3.403364323548e-03       1.878901181299e-03       3.425732070423e-04       6.935136679973e-05       3.904545599960e-04       4.402358102755e-03       1.533428204617e-03       1.520238189942e-04       4.367799696529e-04       3.739643990257e-03       1.297162740510e-03       7.361089161260e-04       2.605636783173e-03       1.242325295897e-03       1.261434795963e-03 
   72       2.751827679502e-10       3.450541969090e-03       1.909402406126e-03       3.477616175373e-04       7.038518241792e-05       3.957885657323e-04       4.468949593460e-03       1.555816570021e-03       1.544196132860e-04       4.435106499819e-04       3.794099103629e-03       1.317649295065e-03       7.474192164956e-04       2.649203639016e-03       1.263948265139e-03       1.285332707211e-03 
   73       2.672212794531e-10       3.497189554796e-03       1.940236070378e-03       3.529640739434e-04       7.141054293923e-05       4.010860965100e-04       4.536242761590e-03       1.578220860415e-03       1.568049234802e-04       4.502855700748e-04       3.848229083514e-03       1.337933643862e-03       7.586451750740e-04       2.692306956738e-03       1.285346144107e-03       1.309041428458e-03 
   74       2.601862069066e-10       3.543267640297e-03       1.971400323456e-03       3.581880131651e-04       7.242804673115e-05       4.063456863690e-04       4.604290478259e-03       1.600670830015e-03       1.591825276421e-04       4.571094485226e-04       3.902091687258e-03       1.358031481387e-03       7.697972333684e-04       2.734959630706e-03       1.306523891435e-03       1.332559529297e-03 
   75       2.554961565010e-10       3.588732909125e-03       2.002890262943e-03       3.634413744681e-04       7.343836700095e-05       4.115655737895e-04       4.673143960243e-03       1.623198206072e-03       1.615555047582e-04       4.639869824827e-04       3.955750273251e-03       1.377960966132e-03       7.808871166681e-04       2.777178468959e-03       1.327488440428e-03       1.355887102498e-03 
   76       2.543632898975e-10       3.633544074076e-03       2.034697762770e-03       3.687318481132e-04       7.444218897630e-05       4.167439822868e-04       4.742847784710e-03       1.645833947466e-03       1.639269054697e-04       4.709223620514e-04       4.009268823692e-03       1.397740819080e-03       7.919267287397e-04       2.818981874131e-03       1.348247549421e-03       1.379024985527e-03 
   77       2.566782631601e-10       3.677681260192e-03       2.066811284453e-03       3.740644469899e-04       7.544000524599e-05       4.218800635857e-04       4.813424360856e-03       1.668599391568e-03       1.662986784870e-04       4.779177426714e-04       4.062695722387e-03       1.417384067081e-03       8.029245333821e-04       2.860382138176e-03       1.368805970565e-03       1.401972143026e-03 
