# Matter power spectrum P(k) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.450477646816e-02       2.453286730595e+04 
       2.463741921853e-02       2.446666639649e+04 
       2.477020544027e-02       2.439988834360e+04 
       2.490313824447e-02       2.433254678983e+04 
       2.503622081928e-02       2.426465525491e+04 
       2.516945643208e-02       2.419622749750e+04 
       2.530284843160e-02       2.412727745584e+04 
       2.543640025025e-02       2.405781847990e+04 
       2.557011540638e-02       2.398786340747e+04 
       2.570399750676e-02       2.391742530546e+04 
       2.583805024902e-02       2.384651748428e+04 
       2.597227742428e-02       2.377515294495e+04 
       2.610668291982e-02       2.370334383567e+04 
       2.624127072182e-02       2.363110253858e+04 
       2.637604491828e-02       2.355844183048e+04 
       2.651100970194e-02       2.348537407874e+04 
       2.664616937338e-02       2.341191077210e+04 
       2.678152834424e-02       2.333806366679e+04 
       2.691709114049e-02       2.326384503015e+04 
       2.705286240585e-02       2.318926638253e+04 
       2.718884690541e-02       2.311433854114e+04 
       2.732504952923e-02       2.303907277489e+04 
       2.746147529624e-02       2.296348080920e+04 
       2.759812935818e-02       2.288757305660e+04 
       2.773501700372e-02       2.281135983662e+04 
       2.787214366276e-02       2.273485206256e+04 
       2.800951491085e-02       2.265806052901e+04 
       2.814713647385e-02       2.258099471411e+04 
       2.828501423268e-02       2.250366458562e+04 
       2.842315422836e-02       2.242608075574e+04 
       2.856156266718e-02       2.234825253621e+04 
       2.870024592609e-02       2.227018901097e+04 
       2.883921055835e-02       2.219190005266e+04 
       2.897846329934e-02       2.211339512925e+04 
       2.911801107266e-02       2.203468256010e+04 
       2.925786099652e-02       2.195577142965e+04 
       2.939802039025e-02       2.187667116736e+04 
       2.953849678130e-02       2.179738954011e+04 
       2.967929791234e-02       2.171793493235e+04 
       2.982043174875e-02       2.163831639350e+04 
       2.996190648650e-02       2.155854150551e+04 
       3.010373056022e-02       2.147861785475e+04 
       3.024591265180e-02       2.139855402040e+04 
       3.038846169919e-02       2.131835746334e+04 
       3.053138690577e-02       2.123803500312e+04 
       3.067469775002e-02       2.115759475534e+04 
       3.081840399570e-02       2.107704391921e+04 
       3.096251570245e-02       2.099638879653e+04 
       3.110704323693e-02       2.091563680912e+04 
       3.125199728446e-02       2.083479494473e+04 
       3.139738886121e-02       2.075386892100e+04 
       3.154322932698e-02       2.067286558843e+04 
       3.168953039858e-02       2.059179158155e+04 
