#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]        
       1.003735452862e+00       2.169753767293e-06      -1.204797669838e+00       1.480106041340e-03       5.000224775571e-09       1.250056193893e-08       1.665288239735e-15       2.500112387786e-09      -9.035982523786e-01       1.480106041341e-03       6.011349218688e-01       6.990484813186e-01      -1.204797668418e+00       1.479778854210e-03       1.983186011944e-04      -9.035982545813e-01       1.480782484399e-03      -1.204805080881e+00       1.479787990566e-03       1.983198170411e-04       3.333333188799e-01 
       1.004798886898e+00       2.172056939469e-06      -1.204804116255e+00       1.481673421334e-03       5.016151818696e-09       1.254037954674e-08       1.674141142271e-15       2.508075909348e-09      -9.036030871914e-01       1.481673421334e-03       6.011345376327e-01       6.990473946572e-01      -1.204804114370e+00       1.481345192151e-03       1.987384173646e-04      -9.036030901146e-01       1.482352014727e-03      -1.204811524170e+00       1.481354334923e-03       1.987396353301e-04       3.333333188492e-01 
       1.005862320933e+00       2.174360120894e-06      -1.204810560431e+00       1.483240790915e-03       5.032112654070e-09       1.258028163518e-08       1.683031672057e-15       2.516056327035e-09      -9.036079203233e-01       1.483240790916e-03       6.011341539730e-01       6.990463091117e-01      -1.204810558080e+00       1.482911517470e-03       1.991586774349e-04      -9.036079239692e-01       1.483921539186e-03      -1.204817967733e+00       1.482920669748e-03       1.991598979360e-04       3.333333188184e-01 
       1.006925754968e+00       2.176663311567e-06      -1.204817002397e+00       1.484808150090e-03       5.048107317553e-09       1.262026829388e-08       1.691959949021e-15       2.524053658776e-09      -9.036127517978e-01       1.484808150091e-03       6.011337708941e-01       6.990452246742e-01      -1.204816999578e+00       1.484477830172e-03       1.995793814011e-04      -9.036127561688e-01       1.485491057786e-03      -1.204824411746e+00       1.484486995235e-03       1.995806048811e-04       3.333333187877e-01 
       1.007989189003e+00       2.178966511488e-06      -1.204823442183e+00       1.486375498864e-03       5.064135845003e-09       1.266033961251e-08       1.700926093347e-15       2.532067922502e-09      -9.036175816375e-01       1.486375498865e-03       6.011333882455e-01       6.990441413373e-01      -1.204823438895e+00       1.486044130259e-03       2.000005292591e-04      -9.036175867359e-01       1.487060570539e-03      -1.204830853527e+00       1.486053308052e-03       2.000017557141e-04       3.333333187569e-01 
       1.009052623039e+00       2.181269720658e-06      -1.204829879815e+00       1.487942837243e-03       5.080198272277e-09       1.270049568069e-08       1.709930225476e-15       2.540099136139e-09      -9.036224098611e-01       1.487942837244e-03       6.011330059341e-01       6.990430590947e-01      -1.204829876056e+00       1.487610417735e-03       2.004221210046e-04      -9.036224156892e-01       1.488630077453e-03      -1.204837291426e+00       1.487619606132e-03       2.004233501518e-04       3.333333187260e-01 
       1.010116057074e+00       2.183572939077e-06      -1.204836315314e+00       1.489510165231e-03       5.096294635230e-09       1.274073658808e-08       1.718972466101e-15       2.548147317615e-09      -9.036272364853e-01       1.489510165232e-03       6.011326239351e-01       6.990419779407e-01      -1.204836311083e+00       1.489176692601e-03       2.008441566335e-04      -9.036272430454e-01       1.490199578538e-03      -1.204843725028e+00       1.489185888931e-03       2.008453881155e-04       3.333333186952e-01 
       1.011179491109e+00       2.185876166743e-06      -1.204842748702e+00       1.491077482832e-03       5.112424969717e-09       1.278106242429e-08       1.728052936173e-15       2.556212484858e-09      -9.036320615268e-01       1.491077482833e-03       6.011322422915e-01       6.990408978700e-01      -1.204842743998e+00       1.490742954859e-03       2.012666361416e-04      -9.036320688212e-01       1.491769073802e-03      -1.204850155178e+00       1.490752157462e-03       2.012678697363e-04       3.333333186643e-01 
       1.013844881124e+00       2.191649014931e-06      -1.204858864236e+00       1.495005760509e-03       5.153003539126e-09       1.288250884782e-08       1.750981006581e-15       2.576501769563e-09      -9.036441481771e-01       1.495005760510e-03       6.011312880129e-01       6.990381954993e-01      -1.204858858338e+00       1.494668577653e-03       2.023274888374e-04      -9.036441573222e-01       1.495702829668e-03      -1.204866270087e+00       1.494677805246e-03       2.023287289896e-04       3.333333185867e-01 
       1.016510271139e+00       2.197421921217e-06      -1.204874967099e+00       1.498933973047e-03       5.193796308790e-09       1.298449077197e-08       1.774151913422e-15       2.596898154395e-09      -9.036562253245e-01       1.498933973049e-03       6.011303365093e-01       6.990354997863e-01      -1.204874959998e+00       1.498594121305e-03       2.033911299064e-04      -9.036562363348e-01       1.499636549187e-03      -1.204882374955e+00       1.498603377175e-03       2.033923770790e-04       3.333333185089e-01 
       1.019175661155e+00       2.203194885602e-06      -1.204891057715e+00       1.502862120525e-03       5.234803843311e-09       1.308700960828e-08       1.797567582378e-15       2.617401921656e-09      -9.036682932866e-01       1.502862120528e-03       6.011293871066e-01       6.990328106252e-01      -1.204891049402e+00       1.502519585859e-03       2.044575592827e-04      -9.036683061769e-01       1.503570232516e-03      -1.204898458575e+00       1.502528858814e-03       2.044588119725e-04       3.333333184309e-01 
       1.021841051170e+00       2.208967908086e-06      -1.204907136486e+00       1.506790203020e-03       5.276026707287e-09       1.319006676822e-08       1.821229949310e-15       2.638013353644e-09      -9.036803523647e-01       1.506790203022e-03       6.011284408229e-01       6.990301279154e-01      -1.204907126951e+00       1.506444971351e-03       2.055267769006e-04      -9.036803671498e-01       1.507503879807e-03      -1.204914540838e+00       1.506454274480e-03       2.055280369046e-04       3.333333183527e-01 
       1.024506441185e+00       2.214740988669e-06      -1.204923203788e+00       1.510718220599e-03       5.317465465305e-09       1.329366366326e-08       1.845140960274e-15       2.658732732653e-09      -9.036924028410e-01       1.510718220602e-03       6.011274967624e-01       6.990274515628e-01      -1.204923193021e+00       1.510370277815e-03       2.065987826942e-04      -9.036924195358e-01       1.511437491204e-03      -1.204930606222e+00       1.510379604379e-03       2.066000491114e-04       3.333333182743e-01 
       1.027171831200e+00       2.220514127351e-06      -1.204939259985e+00       1.514646173330e-03       5.359120681954e-09       1.339780170488e-08       1.869302571559e-15       2.679560340977e-09      -9.037044449890e-01       1.514646173334e-03       6.011265550205e-01       6.990247814761e-01      -1.204939247977e+00       1.514295505280e-03       2.076735765978e-04      -9.037044636084e-01       1.515371066845e-03      -1.204946657426e+00       1.514304851422e-03       2.076748489151e-04       3.333333181957e-01 
