# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       2.726939418107e+05       1.012105617771e-08       1.694223195111e+00       1.614708946198e+05       1.389239690888e+04       5.094482800683e-02       3.788386366677e+09       9.774955181147e-01       1.521554109153e+10       5.527845872291e+07       2.763922936146e+08       3.815924191813e-08       1.052563796545e+10       2.607284980931e+10       2.174383842727e-04       6.756375197423e-02 
       2.707983044803e+05       1.026294463368e-08       1.706044920613e+00       1.592408590212e+05       1.389238508715e+04       5.130140608674e-02       3.762048219173e+09       9.843114824090e-01       1.479684928282e+10       5.413365019177e+07       2.706682509588e+08       3.815924191813e-08       1.023599999785e+10       2.535765118182e+10       2.175409638766e-04       6.766241854894e-02 
       2.689158443744e+05       1.040682011936e-08       1.717948870031e+00       1.570416698869e+05       1.389237318320e+04       5.166047971268e-02       3.735893157298e+09       9.911747884316e-01       1.438967871368e+10       5.301255030232e+07       2.650627515116e+08       3.815924191813e-08       9.954332065362e+09       2.466208608085e+10       2.176437422982e-04       6.776188934639e-02 
       2.670464698937e+05       1.055271041685e-08       1.729935611589e+00       1.548729002011e+05       1.389236119646e+04       5.202206634645e-02       3.709919908364e+09       9.980857624252e-01       1.399371235277e+10       5.191466805810e+07       2.595733402905e+08       3.815924191813e-08       9.680414855563e+09       2.398561521669e+10       2.177467209991e-04       6.786216952147e-02 
       2.651900900755e+05       1.070064369580e-08       1.742005717379e+00       1.527341288618e+05       1.389234912635e+04       5.238618357200e-02       3.684127208527e+09       1.005044732845e+00       1.360864189253e+10       5.083952263092e+07       2.541976131546e+08       3.815924191813e-08       9.414035090868e+09       2.332771411919e+10       2.178499014518e-04       6.796326426004e-02 
       2.633466145895e+05       1.085064851874e-08       1.754159763395e+00       1.506249405990e+05       1.389233697231e+04       5.275284909629e-02       3.658513802731e+09       1.012052030373e+00       1.323416750910e+10       4.978664315034e+07       2.489332157517e+08       3.815924191813e-08       9.154985362458e+09       2.268787273046e+10       2.179532851395e-04       6.806517877903e-02 
       2.615159537334e+05       1.100275384653e-08       1.766398329562e+00       1.485449258933e+05       1.389232473374e+04       5.312208075008e-02       3.633078444644e+09       1.019107987932e+00       1.286999762887e+10       4.875556849743e+07       2.437778424871e+08       3.815924191813e-08       8.903063968788e+09       2.206559500864e+10       2.180568735561e-04       6.816791832663e-02 
       2.596980184283e+05       1.115698904396e-08       1.778721999761e+00       1.464936808967e+05       1.389231241007e+04       5.349389648889e-02       3.607819896595e+09       1.026212940703e+00       1.251584870149e+10       4.774584710280e+07       2.387292355140e+08       3.815924191813e-08       8.658074758547e+09       2.146039854266e+10       2.181606682067e-04       6.827148818239e-02 
       2.578927202147e+05       1.131338388530e-08       1.791131361842e+00       1.444708073540e+05       1.389230000071e+04       5.386831439380e-02       3.582736929521e+09       1.033367226135e+00       1.217144497908e+10       4.675703674886e+07       2.337851837443e+08       3.815924191813e-08       8.419826977925e+09       2.087181417750e+10       2.182646706072e-04       6.837589365740e-02 
       2.560999712477e+05       1.147196856002e-08       1.803627007672e+00       1.424759125252e+05       1.389228750506e+04       5.424535267235e-02       3.557828322899e+09       1.040571183965e+00       1.183651830152e+10       4.578870437615e+07       2.289435218808e+08       3.815924191813e-08       8.188135122094e+09       2.029938564987e+10       2.183688822847e-04       6.848114009443e-02 
       2.543196842934e+05       1.163277367853e-08       1.816209533146e+00       1.405086091092e+05       1.389227492254e+04       5.462502965945e-02       3.533092864692e+09       1.047825156231e+00       1.151080788767e+10       4.484042589367e+07       2.242021294684e+08       3.815924191813e-08       7.962818790771e+09       1.974266923380e+10       2.184733047776e-04       6.858723286804e-02 
       2.525517727241e+05       1.179583027806e-08       1.828879538218e+00       1.385685151685e+05       1.389226225253e+04       5.500736381822e-02       3.508529351287e+09       1.055129487284e+00       1.119406013230e+10       4.391178599314e+07       2.195589299657e+08       3.815924191813e-08       7.743702547756e+09       1.920123339601e+10       2.185779396353e-04       6.869417738478e-02 
