# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
 1974       3.627320124127e-11       6.142980163525e-03       5.095841144049e-03       1.274831629049e-03       2.284283011425e-04       8.366172914755e-04       1.307850942151e-02       5.352200482339e-03       5.750872290221e-04       1.412211563018e-03       1.455586994331e-02       5.610865216233e-03       3.069414726528e-03       1.266991788562e-02       6.298111083827e-03       7.279120544191e-03 
 1975       3.724241739173e-11       6.142098766276e-03       5.095255319672e-03       1.274713470979e-03       2.284058940107e-04       8.365037010920e-04       1.307708348054e-02       5.351682810267e-03       5.750344112310e-04       1.412063831150e-03       1.455461832920e-02       5.610428444712e-03       3.069162897058e-03       1.266908560475e-02       6.297714183839e-03       7.278753138056e-03 
 1976       3.817579974537e-11       6.141309782259e-03       5.094746421433e-03       1.274614595360e-03       2.283869379234e-04       8.364026974650e-04       1.307585504379e-02       5.351246047012e-03       5.749902889563e-04       1.411937434575e-03       1.455358696570e-02       5.610076629367e-03       3.068957532207e-03       1.266844535309e-02       6.297412739647e-03       7.278496438125e-03 
 1977       3.906897443305e-11       6.140618120416e-03       5.094318540182e-03       1.274536029089e-03       2.283716167724e-04       8.363149499400e-04       1.307483462039e-02       5.350894501293e-03       5.749553253446e-04       1.411833508753e-03       1.455278759000e-02       5.609814300124e-03       3.068801108472e-03       1.266800737801e-02       6.297211844044e-03       7.278356345449e-03 
 1978       3.991755022857e-11       6.140028708648e-03       5.093975782570e-03       1.274478803026e-03       2.283601151593e-04       8.362411304472e-04       1.307403276007e-02       5.350632498467e-03       5.749299853311e-04       1.411753193529e-03       1.455223198464e-02       5.609646004408e-03       3.068696111916e-03       1.266778196647e-02       6.297116609497e-03       7.278338783876e-03 
 1979       4.071711852694e-11       6.139546493830e-03       5.093722271061e-03       1.274443952004e-03       2.283526183971e-04       8.361819135042e-04       1.307346005321e-02       5.350464380554e-03       5.749147356423e-04       1.411697633137e-03       1.455193197754e-02       5.609576307162e-03       3.068645038181e-03       1.266777944507e-02       6.297132168171e-03       7.278449700076e-03 
 1980       4.146325332255e-11       6.139176441836e-03       5.093562143957e-03       1.274432514833e-03       2.283493125108e-04       8.361379762198e-04       1.307312713084e-02       5.350394506258e-03       5.749100447977e-04       1.411667976210e-03       1.455189944205e-02       5.609609790873e-03       3.068650392496e-03       1.266801018008e-02       6.297263671952e-03       7.278695063577e-03 
 1981       4.215151118740e-11       6.138923537567e-03       5.093499555419e-03       1.274445534301e-03       2.283503842380e-04       8.361099982969e-04       1.307304466475e-02       5.350427250984e-03       5.749163831124e-04       1.411665375779e-03       1.455214629705e-02       5.609751055589e-03       3.068714689695e-03       1.266848457752e-02       6.297516292476e-03       7.279080866784e-03 
 1982       4.277743124930e-11       6.138792784969e-03       5.093538675479e-03       1.274484057185e-03       2.283560210305e-04       8.360986620359e-04       1.307322336753e-02       5.350567006862e-03       5.749342226992e-04       1.411690989285e-03       1.455268450698e-02       5.610004718944e-03       3.068840454221e-03       1.266921308320e-02       6.297895221150e-03       7.279613125017e-03 
 1983       4.333653517010e-11       6.138789207061e-03       5.093683690069e-03       1.274549134251e-03       2.283664110543e-04       8.361046523375e-04       1.307367399257e-02       5.350818182767e-03       5.749640374709e-04       1.411745978579e-03       1.455352608188e-02       5.610375416178e-03       3.069030220145e-03       1.267020618272e-02       6.298405669175e-03       7.280297876529e-03 
 1984       4.382432712385e-11       6.138917845956e-03       5.093938801035e-03       1.274641820260e-03       2.283817431914e-04       8.361286567065e-04       1.307440733418e-02       5.351185204338e-03       5.750063031424e-04       1.411831509932e-03       1.455468307747e-02       5.610867800161e-03       3.069286531176e-03       1.267147440162e-02       6.299052867577e-03       7.281141182545e-03 
 1985       4.423629377506e-11       6.139183762883e-03       5.094308226156e-03       1.274763173976e-03       2.284022070400e-04       8.361713652547e-04       1.307543422759e-02       5.351672514001e-03       5.750614972330e-04       1.411948754036e-03       1.455616759521e-02       5.611486541411e-03       3.069611940668e-03       1.267302830533e-02       6.299842067223e-03       7.282149127280e-03 
 1986       4.456790425688e-11       6.139592038215e-03       5.094796199167e-03       1.274914258167e-03       2.284279929154e-04       8.362334707038e-04       1.307676554903e-02       5.352284570988e-03       5.751300990686e-04       1.412098886013e-03       1.455799178233e-02       5.612236328120e-03       3.070009011639e-03       1.267487849927e-02       6.300778538852e-03       7.283327817977e-03 
 1987       4.481585722206e-11       6.140144081618e-03       5.095403895108e-03       1.275095367823e-03       2.284591536747e-04       8.363151653000e-04       1.307840431758e-02       5.353022613143e-03       5.752122416329e-04       1.412282232017e-03       1.456015901090e-02       5.613118461787e-03       3.070478455552e-03       1.267702792752e-02       6.301863744206e-03       7.284678948105e-03 
