# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_ncdm[0]             15:t_tot              
       3.287805641971e-02      -7.370099578097e-01      -3.944364642309e+03      -3.967836167673e+03      -7.352339344594e-01      -1.146214193583e+03      -3.950662948802e+03       1.838084836148e-01       1.838084835950e-01      -1.259659810977e-04       4.746658870787e-01       4.747369355480e-01      -1.253061919891e-04       2.226575249687e-01       4.734706345190e-01 
       3.302909665362e-02      -7.338193968992e-01      -3.963372932869e+03      -3.987079338118e+03      -7.320510577947e-01      -1.146262941294e+03      -3.969778713374e+03       1.830127644487e-01       1.830127644290e-01      -1.254212695275e-04       4.769644600956e-01       4.770360271329e-01      -1.247643344427e-04       2.229404778051e-01       4.757600957419e-01 
       3.318073776732e-02      -7.306371734074e-01      -3.982421415547e+03      -4.006363161217e+03      -7.288764984995e-01      -1.146291527223e+03      -3.988934778968e+03       1.822191246249e-01       1.822191246054e-01      -1.248779784706e-04       4.792678850381e-01       4.793399706922e-01      -1.242238899679e-04       2.232181543282e-01       4.780543631685e-01 
       3.333299650753e-02      -7.274631700414e-01      -4.001512675011e+03      -4.025690192569e+03      -7.257101395615e-01      -1.146299404629e+03      -4.008133691848e+03       1.814275348904e-01       1.814275348711e-01      -1.243360880843e-04       4.815764688763e-01       4.816490730250e-01      -1.236848388259e-04       2.234904432455e-01       4.803537417025e-01 
       3.348589020305e-02      -7.242972630357e-01      -4.020649387943e+03      -4.045063082418e+03      -7.225518575087e-01      -1.146285854919e+03      -4.027378091299e+03       1.806379643772e-01       1.806379643580e-01      -1.237955771302e-04       4.838905288553e-01       4.839636512881e-01      -1.231471598865e-04       2.237572654775e-01       4.826585466833e-01 
       3.363943679058e-02      -7.211393011776e-01      -4.039834181348e+03      -4.064484431874e+03      -7.194015014913e-01      -1.146249984225e+03      -4.046670566845e+03       1.798503753728e-01       1.798503753539e-01      -1.232564198858e-04       4.862103770250e-01       4.862840174860e-01      -1.226108275619e-04       2.240185670969e-01       4.849690884251e-01 
       3.379365484207e-02      -7.179891541919e-01      -4.059069924526e+03      -4.083957086261e+03      -7.162589415458e-01      -1.146190848360e+03      -4.066013950562e+03       1.790647353864e-01       1.790647353677e-01      -1.227185940668e-04       4.885363542407e-01       4.886105124928e-01      -1.220758196833e-04       2.242743444009e-01       4.872857061846e-01 
       3.394856359351e-02      -7.148466874481e-01      -4.078359588257e+03      -4.103483988390e+03      -7.131240433652e-01      -1.146107458855e+03      -4.085411172030e+03       1.782810108413e-01       1.782810108227e-01      -1.221820767414e-04       4.908688134370e-01       4.909434891543e-01      -1.215421134388e-04       2.245246339392e-01       4.896087513276e-01 
       3.410418297549e-02      -7.117117377366e-01      -4.097706110848e+03      -4.123068048860e+03      -7.099966441334e-01      -1.145998794844e+03      -4.104865128584e+03       1.774991610333e-01       1.774991610149e-01      -1.216468400867e-04       4.932081037199e-01       4.932832965230e-01      -1.210096811517e-04       2.247695112002e-01       4.919385716082e-01 
       3.426053364537e-02      -7.085841600912e-01      -4.117112696197e+03      -4.142712444952e+03      -7.068765992279e-01      -1.145863938007e+03      -4.124378983276e+03       1.767191498070e-01       1.767191497887e-01      -1.211128589196e-04       4.955546048448e-01       4.956303143401e-01      -1.204784977658e-04       2.250091131902e-01       4.942755455873e-01 
       3.441763702146e-02      -7.054638044231e-01      -4.136582648719e+03      -4.162420450653e+03      -7.037637589211e-01      -1.145702070833e+03      -4.143955996494e+03       1.759409397303e-01       1.759409397122e-01      -1.205801075381e-04       4.979087091491e-01       4.979849348337e-01      -1.199485377132e-04       2.252436129032e-01       4.966200644269e-01 
       3.457551531919e-02      -7.023504952343e-01      -4.156119262086e+03      -4.182195330819e+03      -7.006579481400e-01      -1.145512495030e+03      -4.163599419786e+03       1.751644870350e-01       1.751644870171e-01      -1.200485560335e-04       5.002708085262e-01       5.003475498555e-01      -1.194197712434e-04       2.254732165657e-01       4.989725190481e-01 
       3.473419158935e-02      -6.992440743363e-01      -4.175726117154e+03      -4.202040636278e+03      -6.975590090739e-01      -1.145294749443e+03      -4.183312790592e+03       1.743897522685e-01       1.743897522507e-01      -1.195181770278e-04       5.026413276001e-01       5.027185839721e-01      -1.188921711183e-04       2.256981781756e-01       5.013333331443e-01 
