#scalar perturbations for mode k = 1.500000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       4.746134297193e+00       1.033211052465e-05      -1.210737897232e+00       3.197825048596e-04       2.449184979299e-08       6.122962448248e-08       3.957776325562e-14       1.224592489650e-08      -9.080534229238e-01       3.197825048646e-04       6.011639322153e-01       6.975689249138e-01      -1.210737893542e+00       3.197091658553e-04       2.027182843088e-04      -9.080534285241e-01       3.199308927405e-04 
       4.753308483315e+00       1.034786782859e-05      -1.210754709219e+00       3.202643112325e-04       2.460361507577e-08       6.150903768943e-08       3.987973302187e-14       1.230180753789e-08      -9.080660319146e-01       3.202643112384e-04       6.011636745201e-01       6.975654872193e-01      -1.210754704826e+00       3.201906376533e-04       2.033303171003e-04      -9.080660385818e-01       3.204133701345e-04 
       4.760482669436e+00       1.036362555344e-05      -1.210771521567e+00       3.207461104359e-04       2.471572127966e-08       6.178930319915e-08       4.018354872393e-14       1.235786063983e-08      -9.080786411756e-01       3.207461104428e-04       6.011634167163e-01       6.975620505870e-01      -1.210771516468e+00       3.206721012624e-04       2.039432703901e-04      -9.080786489146e-01       3.208958423690e-04 
       4.767656855558e+00       1.037938369919e-05      -1.210788334316e+00       3.212279024697e-04       2.482816893239e-08       6.207042233097e-08       4.048921886270e-14       1.241408446619e-08      -9.080912507369e-01       3.212279024776e-04       6.011631593324e-01       6.975586150067e-01      -1.210788328507e+00       3.211535566809e-04       2.045571441605e-04      -9.080912595526e-01       3.213783094468e-04 
       4.774831041679e+00       1.039514226587e-05      -1.210805147518e+00       3.217096873346e-04       2.494095856177e-08       6.235239640442e-08       4.079675196556e-14       1.247047928088e-08      -9.081038606386e-01       3.217096873435e-04       6.011629022046e-01       6.975551804652e-01      -1.210805140996e+00       3.216350039078e-04       2.051719383942e-04      -9.081038705357e-01       3.218607713717e-04 
       4.782005227801e+00       1.041090125345e-05      -1.210821961220e+00       3.221914650307e-04       2.505409069563e-08       6.263522673907e-08       4.110615658639e-14       1.252704534781e-08      -9.081164709152e-01       3.221914650406e-04       6.011626448615e-01       6.975517469508e-01      -1.210821953982e+00       3.221164429417e-04       2.057876530736e-04      -9.081164818987e-01       3.223432281471e-04 
       4.797824984738e+00       1.044565279457e-05      -1.210859038998e+00       3.232538049508e-04       2.530477066526e-08       6.326192666316e-08       4.179507900281e-14       1.265238533263e-08      -9.081442792486e-01       3.232538049629e-04       6.011620769242e-01       6.975441793042e-01      -1.210859030170e+00       3.231780324528e-04       2.071486145593e-04      -9.081442926448e-01       3.234070726510e-04 
       4.813644741675e+00       1.048040638236e-05      -1.210896119793e+00       3.243161100107e-04       2.555712426953e-08       6.389281067383e-08       4.249323578421e-14       1.277856213477e-08      -9.081720898449e-01       3.243161100251e-04       6.011615100270e-01       6.975366165052e-01      -1.210896109359e+00       3.242395820990e-04       2.085140513850e-04      -9.081721056778e-01       3.244708921584e-04 
       4.829464498612e+00       1.051516201680e-05      -1.210933203933e+00       3.253783802054e-04       2.581115716929e-08       6.452789292322e-08       4.320072001725e-14       1.290557858464e-08      -9.081999029498e-01       3.253783802221e-04       6.011609422978e-01       6.975290584717e-01      -1.210933191876e+00       3.253010918584e-04       2.098839633627e-04      -9.081999212433e-01       3.255346866944e-04 
       4.845284255549e+00       1.054991969791e-05      -1.210970291834e+00       3.264406155337e-04       2.606687502660e-08       6.516718756650e-08       4.391762542192e-14       1.303343751330e-08      -9.082277188756e-01       3.264406155527e-04       6.011603756444e-01       6.975215050995e-01      -1.210970278139e+00       3.263625617129e-04       2.112583503042e-04      -9.082277396540e-01       3.265984562895e-04 
