# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.523537496945e+02       8.506408417301e-03       1.025917377806e+03       2.483160990442e-01       1.284803920767e+04       8.378040467395e+01       1.970294988719e+06       3.847948923231e+02       1.521796811829e-03       9.831230465080e-03       4.915615232540e-02       4.490398007594e-04       9.500046193400e-05       3.808819787004e-08       7.026275532516e-04       6.166088504452e-02       8.689119079104e-03       9.708290557618e-01 
       1.512859583942e+02       8.598673656074e-03       1.030240400969e+03       2.456922948374e-01       1.284371618451e+04       8.433946451753e+01       1.955917628502e+06       3.858257473777e+02       1.479852788738e-03       9.627294585940e-03       4.813647292970e-02       4.377837370100e-04       9.219595377648e-05       3.808819787004e-08       6.832616128783e-04       6.036470374247e-02       8.748267429962e-03       9.710156328737e-01 
       1.502256015319e+02       8.691924216539e-03       1.034579168326e+03       2.430964515567e-01       1.283937741715e+04       8.490214148327e+01       1.941642573204e+06       3.868573613417e+02       1.439064814269e-03       9.427588990263e-03       4.713794495131e-02       4.268184846705e-04       8.947284158092e-05       3.808819787004e-08       6.644294307628e-04       5.909588475948e-02       8.807829886731e-03       9.712009447968e-01 
       1.491726273525e+02       8.786170529371e-03       1.038933732960e+03       2.405282672456e-01       1.283502285252e+04       8.546845772626e+01       1.927469103892e+06       3.878897302141e+02       1.399401026422e-03       9.232025931032e-03       4.616012965516e-02       4.161363474243e-04       8.682879923173e-05       3.808819787004e-08       6.461162959269e-04       5.785384734416e-02       8.867809346212e-03       9.713849993650e-01 
       1.481269844613e+02       8.881423135270e-03       1.043304148145e+03       2.379874432740e-01       1.283065243733e+04       8.603843552314e+01       1.913396506651e+06       3.889228500070e+02       1.360830441326e-03       9.040519481262e-03       4.520259740631e-02       4.057298361568e-04       8.426156622780e-05       3.808819787004e-08       6.283079028335e-04       5.663802315609e-02       8.928208725456e-03       9.715678043722e-01 
       1.470886218212e+02       8.977692686126e-03       1.047690467343e+03       2.354736843010e-01       1.282626611814e+04       8.661209727253e+01       1.899424072547e+06       3.899567167459e+02       1.323322929040e-03       8.852985496251e-03       4.426492748125e-02       3.955916633163e-04       8.176894585005e-05       3.808819787004e-08       6.109903402121e-04       5.544785599827e-02       8.989030961900e-03       9.717493675729e-01 
       1.460574887505e+02       9.074989946186e-03       1.052092744208e+03       2.329866982372e-01       1.282186384127e+04       8.718946549554e+01       1.885551097598e+06       3.909913264698e+02       1.286849190019e-03       8.669341576607e-03       4.334670788304e-02       3.857147374288e-04       7.934880337974e-05       3.808819787004e-08       5.941500801937e-04       5.428280155548e-02       9.050279013515e-03       9.719296966820e-01 
       1.450335349199e+02       9.173325793243e-03       1.056511032587e+03       2.305261962083e-01       1.281744555289e+04       8.777056283628e+01       1.871776882732e+06       3.920266752308e+02       1.251380732227e-03       8.489507032058e-03       4.244753516029e-02       3.760921577633e-04       7.699906436628e-05       3.808819787004e-08       5.777739677438e-04       5.314232713828e-02       9.111955858947e-03       9.721087993749e-01 
       1.440167103507e+02       9.272711219829e-03       1.060945386518e+03       2.280918925183e-01       1.281301119896e+04       8.835541206234e+01       1.858100733760e+06       3.930627590948e+02       1.216889848882e-03       8.313402845998e-03       4.156701422999e-02       3.667172091428e-04       7.471771294304e-05       3.808819787004e-08       5.618492103875e-04       5.202591143260e-02       9.174064497662e-03       9.722866832877e-01 
       1.430069654119e+02       9.373157334425e-03       1.065395860234e+03       2.256835046138e-01       1.280856072525e+04       8.894403606527e+01       1.844521961336e+06       3.940995741412e+02       1.183349596819e-03       8.140951640773e-03       4.070475820387e-02       3.575833568976e-04       7.250279018991e-05       3.808819787004e-08       5.463633682176e-04       5.093304425477e-02       9.236607950090e-03       9.724633560173e-01 
       1.420042508179e+02       9.474675362686e-03       1.069862508160e+03       2.233007530483e-01       1.280409407732e+04       8.953645786112e+01       1.831039880929e+06       3.951371164627e+02       1.150733775439e-03       7.972077643693e-03       3.986038821846e-02       3.486842419569e-04       7.035239254135e-05       3.808819787004e-08       5.313043441775e-04       4.986322631193e-02       9.299589257775e-03       9.726388251214e-01 
