# Matter power spectrum P(k) at redshift z=0
# for k=1.03246e-05 to 8.71643 h/Mpc,
# number of wavenumbers equal to 619
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.441622220196e-01       4.256390374866e+03 
       1.472522266001e-01       4.059750447591e+03 
       1.503422392675e-01       3.876830804472e+03 
       1.534322588953e-01       3.711634841007e+03 
       1.565222846820e-01       3.566163489663e+03 
       1.596123160318e-01       3.440879041836e+03 
       1.627023524822e-01       3.334705133227e+03 
       1.657923936583e-01       3.245199977833e+03 
       1.688824392457e-01       3.169706117525e+03 
       1.719724889722e-01       3.104375744663e+03 
       1.750625425972e-01       3.045253103919e+03 
       1.781525999043e-01       2.989323205844e+03 
       1.812426606963e-01       2.932926339233e+03 
       1.843327247920e-01       2.873122817250e+03 
       1.874227920241e-01       2.808107587768e+03 
       1.905128622371e-01       2.737113491704e+03 
       1.936029352862e-01       2.660502348962e+03 
       1.966930110360e-01       2.579501899884e+03 
       1.997830893599e-01       2.495873120173e+03 
       2.028731701391e-01       2.411627959625e+03 
       2.059632532623e-01       2.328876894031e+03 
       2.090533386246e-01       2.249581143132e+03 
       2.121434261274e-01       2.175243847074e+03 
       2.152335156778e-01       2.106750147355e+03 
       2.183236071884e-01       2.044825599050e+03 
       2.214137005763e-01       1.989635381852e+03 
       2.245037957636e-01       1.940859318685e+03 
       2.275938926765e-01       1.897737816906e+03 
       2.306839912451e-01       1.859451555995e+03 
       2.337740914034e-01       1.824806529995e+03 
       2.368641930888e-01       1.792541564940e+03 
       2.399542962419e-01       1.761415016550e+03 
       2.430444008063e-01       1.730250423800e+03 
       2.461345067286e-01       1.698351426343e+03 
       2.492246139579e-01       1.665115032431e+03 
       2.523147224460e-01       1.630299188536e+03 
       2.554048321468e-01       1.593922645141e+03 
       2.584949430166e-01       1.556243407740e+03 
       2.615850550138e-01       1.517731233836e+03 
       2.646751680987e-01       1.478970051781e+03 
       2.677652822332e-01       1.440612293134e+03 
       2.708553973815e-01       1.403372111629e+03 
       2.739455135088e-01       1.367731967049e+03 
       2.770356305823e-01       1.334189421914e+03 
       2.801257485706e-01       1.303100243616e+03 
       2.832158674434e-01       1.274403515747e+03 
       2.863059871721e-01       1.248104666464e+03 
       2.893961077290e-01       1.223952819467e+03 
       2.924862290878e-01       1.201584941590e+03 
       2.955763512231e-01       1.180672753887e+03 
       2.986664741108e-01       1.160839296167e+03 
       3.017565977276e-01       1.141545335210e+03 
       3.048467220512e-01       1.122619594963e+03 
       3.079368470603e-01       1.103697380962e+03 
       3.110269727343e-01       1.084516584842e+03 
       3.141170990535e-01       1.065022481105e+03 
       3.172072259990e-01       1.045199629048e+03 
       3.202973535525e-01       1.025041447084e+03 
       3.233874816965e-01       1.004709452180e+03 
       3.264776104142e-01       9.844338292323e+02 
       3.295677396894e-01       9.644003905091e+02 
       3.326578695064e-01       9.448059554063e+02 
       3.357479998502e-01       9.258428136379e+02 
       3.388381307064e-01       9.075812130092e+02 
       3.419282620611e-01       8.901559999178e+02 
       3.450183939006e-01       8.736613904863e+02 
       3.481085262121e-01       8.580270917668e+02 
       3.511986589831e-01       8.432941877800e+02 
       3.542887922015e-01       8.293097525903e+02 
